"date","polling_firm","party","supp"
2023-10-16,"Forsa","AfD",21
2023-10-16,"Forsa","Linke",4
2023-10-16,"Forsa","FW",3
2023-10-16,"Forsa","BSW",NA
2023-10-13,"INSA","SPD",17
2023-10-13,"INSA","Union",28
2023-10-13,"INSA","Green",13
2023-10-13,"INSA","FDP",6
2023-10-13,"INSA","AfD",23
2023-10-13,"INSA","Linke",5
2023-10-13,"INSA","FW",4
2023-10-13,"INSA","BSW",NA
2023-10-11,"Infratest dimap","SPD",15
2023-10-11,"Infratest dimap","Union",29
2023-10-11,"Infratest dimap","Green",13
2023-10-11,"Infratest dimap","FDP",5
2023-10-11,"Infratest dimap","AfD",23
2023-10-11,"Infratest dimap","Linke",4
2023-10-11,"Infratest dimap","FW",4
2023-10-11,"Infratest dimap","BSW",NA
2023-10-10,"YouGov","SPD",16
2023-10-10,"YouGov","Union",29
2023-10-10,"YouGov","Green",15
2023-10-10,"YouGov","FDP",5
2023-10-10,"YouGov","AfD",21
2023-10-10,"YouGov","Linke",6
2023-10-10,"YouGov","FW",2
2023-10-10,"YouGov","BSW",NA
2023-10-10,"Kantar","SPD",16
2023-10-10,"Kantar","Union",27
2023-10-10,"Kantar","Green",15
2023-10-10,"Kantar","FDP",6
2023-10-10,"Kantar","AfD",22
2023-10-10,"Kantar","Linke",5
2023-10-10,"Kantar","FW",3
2023-10-10,"Kantar","BSW",NA
2023-10-09,"INSA","SPD",17
2023-10-09,"INSA","Union",27
2023-10-09,"INSA","Green",13.5
2023-10-09,"INSA","FDP",6
2023-10-09,"INSA","AfD",22.5
2023-10-09,"INSA","Linke",5
2023-10-09,"INSA","FW",3
2023-10-09,"INSA","BSW",NA
2023-10-09,"Forsa","SPD",18
2023-10-09,"Forsa","Union",28
2023-10-09,"Forsa","Green",14
2023-10-09,"Forsa","FDP",6
2023-10-09,"Forsa","AfD",20
2023-10-09,"Forsa","Linke",4
2023-10-09,"Forsa","FW",NA
2023-10-09,"Forsa","BSW",NA
2023-10-08,"Ipsos","SPD",17
2023-10-08,"Ipsos","Union",26
2023-10-08,"Ipsos","Green",14
2023-10-08,"Ipsos","FDP",7
2023-10-08,"Ipsos","AfD",22
2023-10-08,"Ipsos","Linke",5
2023-10-08,"Ipsos","FW",NA
2023-10-08,"Ipsos","BSW",NA
2023-10-06,"INSA","SPD",17
2023-10-06,"INSA","Union",27
2023-10-06,"INSA","Green",14
2023-10-06,"INSA","FDP",6
2023-10-06,"INSA","AfD",22
2023-10-06,"INSA","Linke",5
2023-10-06,"INSA","FW",3
2023-10-06,"INSA","BSW",NA
2023-10-02,"INSA","SPD",18
2023-10-02,"INSA","Union",26.5
2023-10-02,"INSA","Green",13.5
2023-10-02,"INSA","FDP",7
2023-10-02,"INSA","AfD",22
2023-10-02,"INSA","Linke",5
2023-10-02,"INSA","FW",2.5
2023-10-02,"INSA","BSW",NA
2023-09-29,"Forsa","SPD",18
2023-09-29,"Forsa","Union",28
2023-09-29,"Forsa","Green",14
2023-09-29,"Forsa","FDP",5
2023-09-29,"Forsa","AfD",20
2023-09-29,"Forsa","Linke",4
2023-09-29,"Forsa","FW",NA
2023-09-29,"Forsa","BSW",NA
2023-09-29,"INSA","SPD",18
2023-09-29,"INSA","Union",26
2023-09-29,"INSA","Green",14
2023-09-29,"INSA","FDP",7
2023-09-29,"INSA","AfD",22
2023-09-29,"INSA","Linke",5
2023-09-29,"INSA","FW",3
2023-09-29,"INSA","BSW",NA
2023-09-28,"Kantar","SPD",16
2023-09-28,"Kantar","Union",26
2023-09-28,"Kantar","Green",16
2023-09-28,"Kantar","FDP",7
2023-09-28,"Kantar","AfD",21
2023-09-28,"Kantar","Linke",5
2023-09-28,"Kantar","FW",NA
2023-09-28,"Kantar","BSW",NA
2023-09-27,"Infratest dimap","SPD",16
2023-09-27,"Infratest dimap","Union",28
2023-09-27,"Infratest dimap","Green",14
2023-09-27,"Infratest dimap","FDP",6
2023-09-27,"Infratest dimap","AfD",22
2023-09-27,"Infratest dimap","Linke",4
2023-09-27,"Infratest dimap","FW",3
2023-09-27,"Infratest dimap","BSW",NA
2023-09-26,"Kantar","SPD",16
2023-09-26,"Kantar","Union",27
2023-09-26,"Kantar","Green",15
2023-09-26,"Kantar","FDP",7
2023-09-26,"Kantar","AfD",21
2023-09-26,"Kantar","Linke",5
2023-09-26,"Kantar","FW",NA
2023-09-26,"Kantar","BSW",NA
2023-09-25,"Wahlkreisprognose","SPD",18.5
2023-09-25,"Wahlkreisprognose","Union",24
2023-09-25,"Wahlkreisprognose","Green",15
2023-09-25,"Wahlkreisprognose","FDP",6.5
2023-09-25,"Wahlkreisprognose","AfD",23
2023-09-25,"Wahlkreisprognose","Linke",3.5
2023-09-25,"Wahlkreisprognose","FW",NA
2023-09-25,"Wahlkreisprognose","BSW",NA
2023-09-25,"INSA","SPD",17.5
2023-09-25,"INSA","Union",27
2023-09-25,"INSA","Green",13.5
2023-09-25,"INSA","FDP",6.5
2023-09-25,"INSA","AfD",21.5
2023-09-25,"INSA","Linke",5
2023-09-25,"INSA","FW",3
2023-09-25,"INSA","BSW",NA
2023-09-25,"Forsa","SPD",17
2023-09-25,"Forsa","Union",27
2023-09-25,"Forsa","Green",14
2023-09-25,"Forsa","FDP",6
2023-09-25,"Forsa","AfD",21
2023-09-25,"Forsa","Linke",4
2023-09-25,"Forsa","FW",NA
2023-09-25,"Forsa","BSW",NA
2023-09-22,"INSA","SPD",17
2023-09-22,"INSA","Union",27
2023-09-22,"INSA","Green",14
2023-09-22,"INSA","FDP",6
2023-09-22,"INSA","AfD",22
2023-09-22,"INSA","Linke",5
2023-09-22,"INSA","FW",3
2023-09-22,"INSA","BSW",NA
2023-09-19,"Kantar","SPD",17
2023-09-19,"Kantar","Union",27
2023-09-19,"Kantar","Green",15
2023-09-19,"Kantar","FDP",7
2023-09-19,"Kantar","AfD",21
2023-09-19,"Kantar","Linke",4
2023-09-19,"Kantar","FW",NA
2023-09-19,"Kantar","BSW",NA
2023-09-18,"INSA","SPD",17
2023-09-18,"INSA","Union",26.5
2023-09-18,"INSA","Green",14.5
2023-09-18,"INSA","FDP",6
2023-09-18,"INSA","AfD",21
2023-09-18,"INSA","Linke",5
2023-09-18,"INSA","FW",3.5
2023-09-18,"INSA","BSW",NA
2023-09-18,"GMS","SPD",16
2023-09-18,"GMS","Union",27
2023-09-18,"GMS","Green",15
2023-09-18,"GMS","FDP",6
2023-09-18,"GMS","AfD",23
2023-09-18,"GMS","Linke",4
2023-09-18,"GMS","FW",NA
2023-09-18,"GMS","BSW",NA
2023-09-18,"Forsa","SPD",17
2023-09-18,"Forsa","Union",27
2023-09-18,"Forsa","Green",14
2023-09-18,"Forsa","FDP",6
2023-09-18,"Forsa","AfD",22
2023-09-18,"Forsa","Linke",4
2023-09-18,"Forsa","FW",NA
2023-09-18,"Forsa","BSW",NA
2023-09-15,"INSA","SPD",17
2023-09-15,"INSA","Union",27
2023-09-15,"INSA","Green",15
2023-09-15,"INSA","FDP",6
2023-09-15,"INSA","AfD",21
2023-09-15,"INSA","Linke",5
2023-09-15,"INSA","FW",3
2023-09-15,"INSA","BSW",NA
2023-09-15,"Allensbach","SPD",18
2023-09-15,"Allensbach","Union",30
2023-09-15,"Allensbach","Green",14
2023-09-15,"Allensbach","FDP",7
2023-09-15,"Allensbach","AfD",19
2023-09-15,"Allensbach","Linke",5
2023-09-15,"Allensbach","FW",NA
2023-09-15,"Allensbach","BSW",NA
2023-09-14,"Forschungsgruppe Wahlen","SPD",17
2023-09-14,"Forschungsgruppe Wahlen","Union",26
2023-09-14,"Forschungsgruppe Wahlen","Green",16
2023-09-14,"Forschungsgruppe Wahlen","FDP",6
2023-09-14,"Forschungsgruppe Wahlen","AfD",21
2023-09-14,"Forschungsgruppe Wahlen","Linke",5
2023-09-14,"Forschungsgruppe Wahlen","FW",3
2023-09-14,"Forschungsgruppe Wahlen","BSW",NA
2023-09-13,"Infratest dimap","SPD",16
2023-09-13,"Infratest dimap","Union",28
2023-09-13,"Infratest dimap","Green",15
2023-09-13,"Infratest dimap","FDP",7
2023-09-13,"Infratest dimap","AfD",22
2023-09-13,"Infratest dimap","Linke",4
2023-09-13,"Infratest dimap","FW",NA
2023-09-13,"Infratest dimap","BSW",NA
2023-09-12,"Kantar","SPD",16
2023-09-12,"Kantar","Union",26
2023-09-12,"Kantar","Green",15
2023-09-12,"Kantar","FDP",7
2023-09-12,"Kantar","AfD",22
2023-09-12,"Kantar","Linke",5
2023-09-12,"Kantar","FW",NA
2023-09-12,"Kantar","BSW",NA
2023-09-11,"INSA","SPD",18
2023-09-11,"INSA","Union",26.5
2023-09-11,"INSA","Green",14
2023-09-11,"INSA","FDP",7
2023-09-11,"INSA","AfD",22
2023-09-11,"INSA","Linke",4.5
2023-09-11,"INSA","FW",NA
2023-09-11,"INSA","BSW",NA
2023-09-11,"Forsa","SPD",17
2023-09-11,"Forsa","Union",27
2023-09-11,"Forsa","Green",13
2023-09-11,"Forsa","FDP",7
2023-09-11,"Forsa","AfD",21
2023-09-11,"Forsa","Linke",4
2023-09-11,"Forsa","FW",NA
2023-09-11,"Forsa","BSW",NA
2023-09-08,"INSA","SPD",18
2023-09-08,"INSA","Union",27
2023-09-08,"INSA","Green",13
2023-09-08,"INSA","FDP",7
2023-09-08,"INSA","AfD",22
2023-09-08,"INSA","Linke",5
2023-09-08,"INSA","FW",NA
2023-09-08,"INSA","BSW",NA
2023-09-06,"YouGov","SPD",16
2023-09-06,"YouGov","Union",29
2023-09-06,"YouGov","Green",14
2023-09-06,"YouGov","FDP",5
2023-09-06,"YouGov","AfD",23
2023-09-06,"YouGov","Linke",5
2023-09-06,"YouGov","FW",1
2023-09-06,"YouGov","BSW",NA
2023-09-05,"Kantar","SPD",17
2023-09-05,"Kantar","Union",26
2023-09-05,"Kantar","Green",15
2023-09-05,"Kantar","FDP",6
2023-09-05,"Kantar","AfD",21
2023-09-05,"Kantar","Linke",5
2023-09-05,"Kantar","FW",NA
2023-09-05,"Kantar","BSW",NA
2023-09-04,"INSA","SPD",17.5
2023-09-04,"INSA","Union",26.5
2023-09-04,"INSA","Green",13.5
2023-09-04,"INSA","FDP",7.5
2023-09-04,"INSA","AfD",21.5
2023-09-04,"INSA","Linke",4.5
2023-09-04,"INSA","FW",NA
2023-09-04,"INSA","BSW",NA
2023-09-04,"Forsa","SPD",16
2023-09-04,"Forsa","Union",27
2023-09-04,"Forsa","Green",14
2023-09-04,"Forsa","FDP",7
2023-09-04,"Forsa","AfD",21
2023-09-04,"Forsa","Linke",4
2023-09-04,"Forsa","FW",NA
2023-09-04,"Forsa","BSW",NA
2023-09-03,"Ipsos","SPD",17
2023-09-03,"Ipsos","Union",26
2023-09-03,"Ipsos","Green",14
2023-09-03,"Ipsos","FDP",8
2023-09-03,"Ipsos","AfD",21
2023-09-03,"Ipsos","Linke",6
2023-09-03,"Ipsos","FW",NA
2023-09-03,"Ipsos","BSW",NA
2023-09-01,"INSA","SPD",18
2023-09-01,"INSA","Union",27
2023-09-01,"INSA","Green",13
2023-09-01,"INSA","FDP",7
2023-09-01,"INSA","AfD",21
2023-09-01,"INSA","Linke",5
2023-09-01,"INSA","FW",NA
2023-09-01,"INSA","BSW",NA
2023-08-30,"Infratest dimap","SPD",16
2023-08-30,"Infratest dimap","Union",29
2023-08-30,"Infratest dimap","Green",14
2023-08-30,"Infratest dimap","FDP",6
2023-08-30,"Infratest dimap","AfD",22
2023-08-30,"Infratest dimap","Linke",4
2023-08-30,"Infratest dimap","FW",NA
2023-08-30,"Infratest dimap","BSW",NA
2023-08-29,"Kantar","SPD",18
2023-08-29,"Kantar","Union",25
2023-08-29,"Kantar","Green",15
2023-08-29,"Kantar","FDP",7
2023-08-29,"Kantar","AfD",20
2023-08-29,"Kantar","Linke",5
2023-08-29,"Kantar","FW",NA
2023-08-29,"Kantar","BSW",NA
2023-08-28,"INSA","SPD",18
2023-08-28,"INSA","Union",26.5
2023-08-28,"INSA","Green",14.5
2023-08-28,"INSA","FDP",7
2023-08-28,"INSA","AfD",21
2023-08-28,"INSA","Linke",4.5
2023-08-28,"INSA","FW",NA
2023-08-28,"INSA","BSW",NA
2023-08-28,"Forsa","SPD",17
2023-08-28,"Forsa","Union",26
2023-08-28,"Forsa","Green",14
2023-08-28,"Forsa","FDP",7
2023-08-28,"Forsa","AfD",21
2023-08-28,"Forsa","Linke",4
2023-08-28,"Forsa","FW",NA
2023-08-28,"Forsa","BSW",NA
2023-08-27,"Wahlkreisprognose","SPD",20.5
2023-08-27,"Wahlkreisprognose","Union",25
2023-08-27,"Wahlkreisprognose","Green",13
2023-08-27,"Wahlkreisprognose","FDP",7.5
2023-08-27,"Wahlkreisprognose","AfD",22
2023-08-27,"Wahlkreisprognose","Linke",4
2023-08-27,"Wahlkreisprognose","FW",NA
2023-08-27,"Wahlkreisprognose","BSW",NA
2023-08-25,"INSA","SPD",18
2023-08-25,"INSA","Union",27
2023-08-25,"INSA","Green",14
2023-08-25,"INSA","FDP",7
2023-08-25,"INSA","AfD",21
2023-08-25,"INSA","Linke",5
2023-08-25,"INSA","FW",NA
2023-08-25,"INSA","BSW",NA
2023-08-22,"Kantar","SPD",18
2023-08-22,"Kantar","Union",26
2023-08-22,"Kantar","Green",14
2023-08-22,"Kantar","FDP",7
2023-08-22,"Kantar","AfD",20
2023-08-22,"Kantar","Linke",5
2023-08-22,"Kantar","FW",NA
2023-08-22,"Kantar","BSW",NA
2023-08-21,"INSA","SPD",18.5
2023-08-21,"INSA","Union",26.5
2023-08-21,"INSA","Green",14
2023-08-21,"INSA","FDP",8
2023-08-21,"INSA","AfD",20.5
2023-08-21,"INSA","Linke",5
2023-08-21,"INSA","FW",NA
2023-08-21,"INSA","BSW",NA
2023-08-21,"Forsa","SPD",18
2023-08-21,"Forsa","Union",26
2023-08-21,"Forsa","Green",14
2023-08-21,"Forsa","FDP",7
2023-08-21,"Forsa","AfD",20
2023-08-21,"Forsa","Linke",4
2023-08-21,"Forsa","FW",NA
2023-08-21,"Forsa","BSW",NA
2023-08-18,"INSA","SPD",18
2023-08-18,"INSA","Union",27
2023-08-18,"INSA","Green",14
2023-08-18,"INSA","FDP",8
2023-08-18,"INSA","AfD",21
2023-08-18,"INSA","Linke",5
2023-08-18,"INSA","FW",NA
2023-08-18,"INSA","BSW",NA
2023-08-17,"Forschungsgruppe Wahlen","SPD",19
2023-08-17,"Forschungsgruppe Wahlen","Union",26
2023-08-17,"Forschungsgruppe Wahlen","Green",15
2023-08-17,"Forschungsgruppe Wahlen","FDP",7
2023-08-17,"Forschungsgruppe Wahlen","AfD",20
2023-08-17,"Forschungsgruppe Wahlen","Linke",5
2023-08-17,"Forschungsgruppe Wahlen","FW",NA
2023-08-17,"Forschungsgruppe Wahlen","BSW",NA
2023-08-16,"Infratest dimap","SPD",17
2023-08-16,"Infratest dimap","Union",27
2023-08-16,"Infratest dimap","Green",14
2023-08-16,"Infratest dimap","FDP",7
2023-08-16,"Infratest dimap","AfD",21
2023-08-16,"Infratest dimap","Linke",4
2023-08-16,"Infratest dimap","FW",NA
2023-08-16,"Infratest dimap","BSW",NA
2023-08-16,"Allensbach","SPD",19
2023-08-16,"Allensbach","Union",29
2023-08-16,"Allensbach","Green",14
2023-08-16,"Allensbach","FDP",7
2023-08-16,"Allensbach","AfD",19
2023-08-16,"Allensbach","Linke",5
2023-08-16,"Allensbach","FW",NA
2023-08-16,"Allensbach","BSW",NA
2023-08-15,"Kantar","SPD",18
2023-08-15,"Kantar","Union",26
2023-08-15,"Kantar","Green",15
2023-08-15,"Kantar","FDP",7
2023-08-15,"Kantar","AfD",19
2023-08-15,"Kantar","Linke",5
2023-08-15,"Kantar","FW",NA
2023-08-15,"Kantar","BSW",NA
2023-08-14,"INSA","SPD",19.5
2023-08-14,"INSA","Union",26
2023-08-14,"INSA","Green",13.5
2023-08-14,"INSA","FDP",7
2023-08-14,"INSA","AfD",21
2023-08-14,"INSA","Linke",4.5
2023-08-14,"INSA","FW",NA
2023-08-14,"INSA","BSW",NA
2023-08-14,"Forsa","SPD",17
2023-08-14,"Forsa","Union",25
2023-08-14,"Forsa","Green",15
2023-08-14,"Forsa","FDP",7
2023-08-14,"Forsa","AfD",21
2023-08-14,"Forsa","Linke",4
2023-08-14,"Forsa","FW",NA
2023-08-14,"Forsa","BSW",NA
2023-08-11,"INSA","SPD",20
2023-08-11,"INSA","Union",26
2023-08-11,"INSA","Green",13
2023-08-11,"INSA","FDP",7
2023-08-11,"INSA","AfD",21
2023-08-11,"INSA","Linke",5
2023-08-11,"INSA","FW",NA
2023-08-11,"INSA","BSW",NA
2023-08-09,"GMS","SPD",17
2023-08-09,"GMS","Union",27
2023-08-09,"GMS","Green",14
2023-08-09,"GMS","FDP",7
2023-08-09,"GMS","AfD",21
2023-08-09,"GMS","Linke",4
2023-08-09,"GMS","FW",NA
2023-08-09,"GMS","BSW",NA
2023-08-08,"Kantar","SPD",19
2023-08-08,"Kantar","Union",27
2023-08-08,"Kantar","Green",16
2023-08-08,"Kantar","FDP",6
2023-08-08,"Kantar","AfD",18
2023-08-08,"Kantar","Linke",6
2023-08-08,"Kantar","FW",NA
2023-08-08,"Kantar","BSW",NA
2023-08-07,"INSA","SPD",19
2023-08-07,"INSA","Union",27
2023-08-07,"INSA","Green",14.5
2023-08-07,"INSA","FDP",7.5
2023-08-07,"INSA","AfD",20.5
2023-08-07,"INSA","Linke",4.5
2023-08-07,"INSA","FW",NA
2023-08-07,"INSA","BSW",NA
2023-08-07,"Forsa","SPD",17
2023-08-07,"Forsa","Union",25
2023-08-07,"Forsa","Green",15
2023-08-07,"Forsa","FDP",7
2023-08-07,"Forsa","AfD",21
2023-08-07,"Forsa","Linke",4
2023-08-07,"Forsa","FW",NA
2023-08-07,"Forsa","BSW",NA
2023-08-06,"Ipsos","SPD",17
2023-08-06,"Ipsos","Union",26
2023-08-06,"Ipsos","Green",15
2023-08-06,"Ipsos","FDP",8
2023-08-06,"Ipsos","AfD",22
2023-08-06,"Ipsos","Linke",5
2023-08-06,"Ipsos","FW",NA
2023-08-06,"Ipsos","BSW",NA
2023-08-04,"INSA","SPD",19
2023-08-04,"INSA","Union",27
2023-08-04,"INSA","Green",14
2023-08-04,"INSA","FDP",7
2023-08-04,"INSA","AfD",21
2023-08-04,"INSA","Linke",5
2023-08-04,"INSA","FW",NA
2023-08-04,"INSA","BSW",NA
2023-08-02,"Infratest dimap","SPD",17
2023-08-02,"Infratest dimap","Union",27
2023-08-02,"Infratest dimap","Green",15
2023-08-02,"Infratest dimap","FDP",7
2023-08-02,"Infratest dimap","AfD",21
2023-08-02,"Infratest dimap","Linke",4
2023-08-02,"Infratest dimap","FW",NA
2023-08-02,"Infratest dimap","BSW",NA
2023-08-01,"Kantar","SPD",19
2023-08-01,"Kantar","Union",27
2023-08-01,"Kantar","Green",16
2023-08-01,"Kantar","FDP",6
2023-08-01,"Kantar","AfD",19
2023-08-01,"Kantar","Linke",5
2023-08-01,"Kantar","FW",NA
2023-08-01,"Kantar","BSW",NA
2023-08-02,"YouGov","SPD",17
2023-08-02,"YouGov","Union",27
2023-08-02,"YouGov","Green",14
2023-08-02,"YouGov","FDP",5
2023-08-02,"YouGov","AfD",23
2023-08-02,"YouGov","Linke",6
2023-08-02,"YouGov","FW",1
2023-08-02,"YouGov","BSW",NA
2023-07-31,"INSA","SPD",18.5
2023-07-31,"INSA","Union",26.5
2023-07-31,"INSA","Green",14
2023-07-31,"INSA","FDP",6.5
2023-07-31,"INSA","AfD",21.5
2023-07-31,"INSA","Linke",5
2023-07-31,"INSA","FW",NA
2023-07-31,"INSA","BSW",NA
2023-07-31,"Forsa","SPD",17
2023-07-31,"Forsa","Union",25
2023-07-31,"Forsa","Green",15
2023-07-31,"Forsa","FDP",6
2023-07-31,"Forsa","AfD",21
2023-07-31,"Forsa","Linke",5
2023-07-31,"Forsa","FW",NA
2023-07-31,"Forsa","BSW",NA
2023-07-28,"INSA","SPD",18
2023-07-28,"INSA","Union",26
2023-07-28,"INSA","Green",14
2023-07-28,"INSA","FDP",7
2023-07-28,"INSA","AfD",22
2023-07-28,"INSA","Linke",5
2023-07-28,"INSA","FW",NA
2023-07-28,"INSA","BSW",NA
2023-07-27,"Wahlkreisprognose","SPD",20.5
2023-07-27,"Wahlkreisprognose","Union",25
2023-07-27,"Wahlkreisprognose","Green",13
2023-07-27,"Wahlkreisprognose","FDP",7
2023-07-27,"Wahlkreisprognose","AfD",20.5
2023-07-27,"Wahlkreisprognose","Linke",4.5
2023-07-27,"Wahlkreisprognose","FW",3
2023-07-27,"Wahlkreisprognose","BSW",NA
2023-07-25,"Kantar","SPD",18
2023-07-25,"Kantar","Union",27
2023-07-25,"Kantar","Green",16
2023-07-25,"Kantar","FDP",6
2023-07-25,"Kantar","AfD",20
2023-07-25,"Kantar","Linke",5
2023-07-25,"Kantar","FW",NA
2023-07-25,"Kantar","BSW",NA
2023-07-24,"INSA","SPD",18.5
2023-07-24,"INSA","Union",26.5
2023-07-24,"INSA","Green",14
2023-07-24,"INSA","FDP",7.5
2023-07-24,"INSA","AfD",21.5
2023-07-24,"INSA","Linke",4.5
2023-07-24,"INSA","FW",NA
2023-07-24,"INSA","BSW",NA
2023-07-24,"Forsa","SPD",18
2023-07-24,"Forsa","Union",27
2023-07-24,"Forsa","Green",14
2023-07-24,"Forsa","FDP",6
2023-07-24,"Forsa","AfD",19
2023-07-24,"Forsa","Linke",5
2023-07-24,"Forsa","FW",NA
2023-07-24,"Forsa","BSW",NA
2023-07-21,"INSA","SPD",18
2023-07-21,"INSA","Union",26
2023-07-21,"INSA","Green",14
2023-07-21,"INSA","FDP",7
2023-07-21,"INSA","AfD",22
2023-07-21,"INSA","Linke",5
2023-07-21,"INSA","FW",NA
2023-07-21,"INSA","BSW",NA
2023-07-19,"Infratest dimap","SPD",18
2023-07-19,"Infratest dimap","Union",28
2023-07-19,"Infratest dimap","Green",13
2023-07-19,"Infratest dimap","FDP",7
2023-07-19,"Infratest dimap","AfD",20
2023-07-19,"Infratest dimap","Linke",4
2023-07-19,"Infratest dimap","FW",NA
2023-07-19,"Infratest dimap","BSW",NA
2023-07-19,"Allensbach","SPD",19
2023-07-19,"Allensbach","Union",29
2023-07-19,"Allensbach","Green",16
2023-07-19,"Allensbach","FDP",7
2023-07-19,"Allensbach","AfD",18
2023-07-19,"Allensbach","Linke",4
2023-07-19,"Allensbach","FW",NA
2023-07-19,"Allensbach","BSW",NA
2023-07-18,"Kantar","SPD",18
2023-07-18,"Kantar","Union",26
2023-07-18,"Kantar","Green",16
2023-07-18,"Kantar","FDP",7
2023-07-18,"Kantar","AfD",20
2023-07-18,"Kantar","Linke",5
2023-07-18,"Kantar","FW",NA
2023-07-18,"Kantar","BSW",NA
2023-07-17,"INSA","SPD",18
2023-07-17,"INSA","Union",27
2023-07-17,"INSA","Green",14
2023-07-17,"INSA","FDP",7
2023-07-17,"INSA","AfD",20.5
2023-07-17,"INSA","Linke",5
2023-07-17,"INSA","FW",NA
2023-07-17,"INSA","BSW",NA
2023-07-17,"Forsa","SPD",18
2023-07-17,"Forsa","Union",26
2023-07-17,"Forsa","Green",15
2023-07-17,"Forsa","FDP",7
2023-07-17,"Forsa","AfD",20
2023-07-17,"Forsa","Linke",4
2023-07-17,"Forsa","FW",NA
2023-07-17,"Forsa","BSW",NA
2023-07-14,"INSA","SPD",18
2023-07-14,"INSA","Union",27
2023-07-14,"INSA","Green",14
2023-07-14,"INSA","FDP",7
2023-07-14,"INSA","AfD",20
2023-07-14,"INSA","Linke",5
2023-07-14,"INSA","FW",NA
2023-07-14,"INSA","BSW",NA
2023-07-13,"Forschungsgruppe Wahlen","SPD",17
2023-07-13,"Forschungsgruppe Wahlen","Union",27
2023-07-13,"Forschungsgruppe Wahlen","Green",16
2023-07-13,"Forschungsgruppe Wahlen","FDP",7
2023-07-13,"Forschungsgruppe Wahlen","AfD",20
2023-07-13,"Forschungsgruppe Wahlen","Linke",4
2023-07-13,"Forschungsgruppe Wahlen","FW",NA
2023-07-13,"Forschungsgruppe Wahlen","BSW",NA
2023-07-11,"Kantar","SPD",19
2023-07-11,"Kantar","Union",26
2023-07-11,"Kantar","Green",15
2023-07-11,"Kantar","FDP",7
2023-07-11,"Kantar","AfD",20
2023-07-11,"Kantar","Linke",5
2023-07-11,"Kantar","FW",NA
2023-07-11,"Kantar","BSW",NA
2023-07-10,"INSA","SPD",19
2023-07-10,"INSA","Union",26
2023-07-10,"INSA","Green",14
2023-07-10,"INSA","FDP",7
2023-07-10,"INSA","AfD",20.5
2023-07-10,"INSA","Linke",5
2023-07-10,"INSA","FW",NA
2023-07-10,"INSA","BSW",NA
2023-07-09,"Ipsos","SPD",18
2023-07-09,"Ipsos","Union",26
2023-07-09,"Ipsos","Green",14
2023-07-09,"Ipsos","FDP",7
2023-07-09,"Ipsos","AfD",22
2023-07-09,"Ipsos","Linke",5
2023-07-09,"Ipsos","FW",NA
2023-07-09,"Ipsos","BSW",NA
2023-07-07,"Forsa","SPD",18
2023-07-07,"Forsa","Union",27
2023-07-07,"Forsa","Green",14
2023-07-07,"Forsa","FDP",7
2023-07-07,"Forsa","AfD",19
2023-07-07,"Forsa","Linke",5
2023-07-07,"Forsa","FW",NA
2023-07-07,"Forsa","BSW",NA
2023-07-07,"INSA","SPD",19
2023-07-07,"INSA","Union",27
2023-07-07,"INSA","Green",13
2023-07-07,"INSA","FDP",7
2023-07-07,"INSA","AfD",20
2023-07-07,"INSA","Linke",5
2023-07-07,"INSA","FW",NA
2023-07-07,"INSA","BSW",NA
2023-07-05,"Infratest dimap","SPD",18
2023-07-05,"Infratest dimap","Union",28
2023-07-05,"Infratest dimap","Green",14
2023-07-05,"Infratest dimap","FDP",7
2023-07-05,"Infratest dimap","AfD",20
2023-07-05,"Infratest dimap","Linke",4
2023-07-05,"Infratest dimap","FW",NA
2023-07-05,"Infratest dimap","BSW",NA
2023-07-04,"YouGov","SPD",18
2023-07-04,"YouGov","Union",27
2023-07-04,"YouGov","Green",14
2023-07-04,"YouGov","FDP",6
2023-07-04,"YouGov","AfD",21
2023-07-04,"YouGov","Linke",6
2023-07-04,"YouGov","FW",1
2023-07-04,"YouGov","BSW",NA
2023-07-04,"Kantar","SPD",18
2023-07-04,"Kantar","Union",27
2023-07-04,"Kantar","Green",15
2023-07-04,"Kantar","FDP",6
2023-07-04,"Kantar","AfD",20
2023-07-04,"Kantar","Linke",5
2023-07-04,"Kantar","FW",NA
2023-07-04,"Kantar","BSW",NA
2023-07-03,"INSA","SPD",19
2023-07-03,"INSA","Union",25.5
2023-07-03,"INSA","Green",14.5
2023-07-03,"INSA","FDP",6.5
2023-07-03,"INSA","AfD",21
2023-07-03,"INSA","Linke",5
2023-07-03,"INSA","FW",NA
2023-07-03,"INSA","BSW",NA
2023-07-03,"GMS","SPD",17
2023-07-03,"GMS","Union",28
2023-07-03,"GMS","Green",14
2023-07-03,"GMS","FDP",7
2023-07-03,"GMS","AfD",20
2023-07-03,"GMS","Linke",4
2023-07-03,"GMS","FW",NA
2023-07-03,"GMS","BSW",NA
2023-07-03,"Forsa","SPD",18
2023-07-03,"Forsa","Union",27
2023-07-03,"Forsa","Green",15
2023-07-03,"Forsa","FDP",6
2023-07-03,"Forsa","AfD",19
2023-07-03,"Forsa","Linke",5
2023-07-03,"Forsa","FW",NA
2023-07-03,"Forsa","BSW",NA
2023-06-30,"INSA","SPD",19
2023-06-30,"INSA","Union",26
2023-06-30,"INSA","Green",14
2023-06-30,"INSA","FDP",7
2023-06-30,"INSA","AfD",20
2023-06-30,"INSA","Linke",5
2023-06-30,"INSA","FW",NA
2023-06-30,"INSA","BSW",NA
